gender,estimated_age,color_of_scales,color_of_eyes,color_of_wings,est_body_length,shape_of_snout,shape_of_teeth,scales_present,scale_texture,body_texture,snout_length,shape_of_body,wingspan,number_of_limbs,facial_spikes,frilled,length_of_horns,shape_of_horns,shape_of_tail,loc_of_sighting,aggressiveness,flight_speed,is_venomous,breathing_fire_observed,observed_by,year_observed,species
male,juvenile,grey,yellow,grey,4.51289536198414,long,spiked,partial,rough,partially scaled,0.7469275292212548,lithe,8.396654067829992,2,no,no,long,spiny,pointed,Ukraine,7,59.9590741495184,no,no,TX,2002,Ukrainian Ironbelly
male,juvenile,grey,yellow,grey,4.997115954256192,long,spiked,partial,rough,partially scaled,0.7884356344316401,lithe,8.69773989909667,2,no,no,long,spiny,pointed,Romania,5,56.59371669978811,no,no,OH,2015,Ukrainian Ironbelly
male,elder,grey,yellow,grey,51.78661835810318,long,spiked,partial,rough,partially scaled,3.7496867443927386,lithe,91.14537975385993,2,no,no,long,spiny,pointed,Romania,7,45.23178917874711,no,no,SR,2003,Ukrainian Ironbelly
male,juvenile,grey,red,grey,4.5817100469285945,long,spiked,partial,rough,partially scaled,0.9599018754702978,lithe,9.783414404753822,2,no,no,long,spiny,pointed,Hungary,5,58.64817272190086,no,no,FF,1996,Ukrainian Ironbelly
male,elder,grey,yellow,grey,31.313696131422113,long,spiked,partial,rough,partially scaled,3.5766671938996946,lithe,83.93023258009191,2,no,no,long,spiny,pointed,Ukraine,7,49.561301571784895,no,no,U,2017,Ukrainian Ironbelly
male,juvenile,grey,yellow,grey,4.836109997049205,long,spiked,partial,rough,partially scaled,0.8051290290434011,lithe,8.133347981967262,2,no,no,long,spiny,pointed,Hungary,6,59.63804197441472,no,no,BB,2008,Ukrainian Ironbelly
male,juvenile,grey,red,grey,4.977018051082119,long,spiked,partial,rough,partially scaled,0.8130709922942059,lithe,9.738465615020246,2,no,no,long,spiny,pointed,Ukraine,7,54.389193328727536,no,no,NK,1980,Ukrainian Ironbelly
male,elder,grey,red,grey,42.03445459536768,long,spiked,partial,rough,partially scaled,4.612380348678234,lithe,64.16583385786005,2,no,no,long,spiny,pointed,Hungary,7,46.79402535573145,no,no,BB,1976,Ukrainian Ironbelly
male,elder,grey,yellow,grey,52.78205132770564,long,spiked,partial,rough,partially scaled,4.872303648122285,lithe,69.73212569088744,2,no,no,long,spiny,pointed,Hungary,6,45.64283561832991,no,no,BB,2022,Ukrainian Ironbelly
female,juvenile,grey,red,grey,4.670792811601203,long,spiked,partial,rough,partially scaled,0.5627186551834806,lithe,8.927925995118647,2,no,no,long,spiny,pointed,Ukraine,6,59.902287082224426,no,no,OH,2017,Ukrainian Ironbelly
female,elder,grey,red,grey,59.558527021219795,long,spiked,partial,rough,partially scaled,3.257792570659137,lithe,102.43497498853168,2,no,no,long,spiny,pointed,Romania,7,45.80628116082868,no,no,VM,2021,Ukrainian Ironbelly
female,juvenile,grey,yellow,grey,4.18565456093552,long,spiked,partial,rough,partially scaled,0.5776683225653767,lithe,9.952855358620203,2,no,no,long,spiny,pointed,Romania,5,50.36038231556943,no,no,NK,1990,Ukrainian Ironbelly
female,juvenile,grey,red,grey,4.588535882181272,long,spiked,partial,rough,partially scaled,0.5119475871044472,lithe,9.284282168301576,2,no,no,long,spiny,pointed,Hungary,7,58.62231896419883,no,no,NN,1987,Ukrainian Ironbelly
male,juvenile,grey,yellow,grey,4.358692409486897,long,spiked,partial,rough,partially scaled,0.6132290962831461,lithe,8.478838219393596,2,no,no,long,spiny,pointed,Hungary,5,59.81050873141261,no,no,NN,2022,Ukrainian Ironbelly
female,adult,grey,yellow,grey,19.332036575128985,long,spiked,partial,rough,partially scaled,2.0560886304205805,lithe,47.177090523984106,2,no,no,long,spiny,pointed,Ukraine,5,49.4393574293122,no,yes,OH,1979,Ukrainian Ironbelly
female,elder,grey,red,grey,49.335587561223775,long,spiked,partial,rough,partially scaled,3.9124962700830554,lithe,83.5386337419584,2,no,no,long,spiny,pointed,Hungary,7,48.24507909954725,no,no,OH,1981,Ukrainian Ironbelly
male,juvenile,grey,yellow,grey,4.690704305596133,long,spiked,partial,rough,partially scaled,0.6730386888780893,lithe,8.495251506625003,2,no,no,long,spiny,pointed,Ukraine,6,54.69209909653083,no,no,FF,2008,Ukrainian Ironbelly
female,adult,grey,red,grey,19.21901133750269,long,spiked,partial,rough,partially scaled,2.143721491811761,lithe,38.31532051069015,2,no,no,long,spiny,pointed,Romania,7,49.27901031644157,no,yes,AB,2012,Ukrainian Ironbelly
male,elder,grey,red,grey,54.17739809965741,long,spiked,partial,rough,partially scaled,3.85887430856611,lithe,96.06059799970043,2,no,no,long,spiny,pointed,Hungary,5,49.09314803236132,no,no,WX,1997,Ukrainian Ironbelly
male,elder,grey,red,grey,42.31091673949453,long,spiked,partial,rough,partially scaled,3.4985661348645927,lithe,71.56684481413973,2,no,no,long,spiny,pointed,Romania,6,45.76063054952195,no,no,TR,2017,Ukrainian Ironbelly
male,elder,grey,yellow,grey,50.55292915825194,long,spiked,partial,rough,partially scaled,3.4397034168440963,lithe,83.61996757918817,2,no,no,long,spiny,pointed,Romania,7,49.03270666339547,no,no,BB,1996,Ukrainian Ironbelly
male,juvenile,grey,red,grey,4.204298036225131,long,spiked,partial,rough,partially scaled,0.9066740475890926,lithe,8.507661948959305,2,no,no,long,spiny,pointed,Hungary,5,50.704898181848996,no,no,FF,2010,Ukrainian Ironbelly
female,elder,grey,red,grey,48.343115639417476,long,spiked,partial,rough,partially scaled,3.711932227667768,lithe,98.758645142373,2,no,no,long,spiny,pointed,Romania,5,47.35820719888306,no,no,NN,1975,Ukrainian Ironbelly
male,adult,grey,red,grey,17.87480161149818,long,spiked,partial,rough,partially scaled,1.8629456440927403,lithe,43.72207822414876,2,no,no,long,spiny,pointed,Romania,7,47.052591473046846,no,no,SR,2009,Ukrainian Ironbelly
female,elder,grey,yellow,grey,43.27674525202889,long,spiked,partial,rough,partially scaled,3.336085651762229,lithe,83.6108715374989,2,no,no,long,spiny,pointed,Hungary,7,46.31116080338787,no,no,SX,2005,Ukrainian Ironbelly
female,elder,grey,yellow,grey,45.02503699739714,long,spiked,partial,rough,partially scaled,3.896000306867881,lithe,99.8699567981509,2,no,no,long,spiny,pointed,Romania,7,46.010512726604,no,no,CT,1995,Ukrainian Ironbelly
female,adult,grey,red,grey,21.1656260086752,long,spiked,partial,rough,partially scaled,2.4651149290988807,lithe,35.15064109167571,2,no,no,long,spiny,pointed,Hungary,6,48.087193394542574,no,no,KN,1979,Ukrainian Ironbelly
female,juvenile,grey,red,grey,4.66427378110686,long,spiked,partial,rough,partially scaled,0.9118667024390632,lithe,8.540756827540424,2,no,no,long,spiny,pointed,Romania,6,59.108306113032654,no,no,SR,2015,Ukrainian Ironbelly
female,elder,grey,red,grey,59.63078620268459,long,spiked,partial,rough,partially scaled,3.32360537567929,lithe,108.77803429213921,2,no,no,long,spiny,pointed,Hungary,7,49.75723393841274,no,no,DR,2001,Ukrainian Ironbelly
male,adult,grey,yellow,grey,10.671011477529643,long,spiked,partial,rough,partially scaled,1.2138586813265193,lithe,47.14850945019967,2,no,no,long,spiny,pointed,Romania,5,46.53933993846032,no,no,SR,2008,Ukrainian Ironbelly
female,juvenile,grey,yellow,grey,4.565046040949853,long,spiked,partial,rough,partially scaled,0.908723260731973,lithe,9.363304433571177,2,no,no,long,spiny,pointed,Hungary,5,57.04176908080089,no,no,VM,1982,Ukrainian Ironbelly
male,juvenile,grey,yellow,grey,4.455613490209969,long,spiked,partial,rough,partially scaled,0.6579136548060199,lithe,8.496213358852247,2,no,no,long,spiny,pointed,Ukraine,5,56.43983044021884,no,no,FF,1995,Ukrainian Ironbelly
male,elder,grey,red,grey,39.80089510491524,long,spiked,partial,rough,partially scaled,4.223447371601667,lithe,81.84373568913844,2,no,no,long,spiny,pointed,Hungary,7,45.31053207661125,no,no,CT,1985,Ukrainian Ironbelly
male,elder,grey,red,grey,55.077833790051486,long,spiked,partial,rough,partially scaled,3.237834560759741,lithe,86.69147340680593,2,no,no,long,spiny,pointed,Hungary,5,49.92322846323554,no,no,WX,2011,Ukrainian Ironbelly
male,adult,grey,yellow,grey,13.777672930347567,long,spiked,partial,rough,partially scaled,1.1148710856783515,lithe,49.16205973962832,2,no,no,long,spiny,pointed,Romania,6,46.22782460576774,no,yes,U,1975,Ukrainian Ironbelly
male,adult,grey,yellow,grey,17.53890520464556,long,spiked,partial,rough,partially scaled,1.366362143795475,lithe,49.84821214679728,2,no,no,long,spiny,pointed,Hungary,6,48.025803568241386,no,yes,CT,2023,Ukrainian Ironbelly
female,elder,grey,yellow,grey,54.84898372504253,long,spiked,partial,rough,partially scaled,3.8499435557716293,lithe,100.83424627289483,2,no,no,long,spiny,pointed,Hungary,6,46.227413610629206,no,no,TR,1995,Ukrainian Ironbelly
male,elder,grey,red,grey,32.187381216174984,long,spiked,partial,rough,partially scaled,4.803516918665382,lithe,84.40127282393757,2,no,no,long,spiny,pointed,Romania,5,46.26305257635597,no,no,NR,2015,Ukrainian Ironbelly
female,juvenile,grey,red,grey,4.296768900024477,long,spiked,partial,rough,partially scaled,0.6941710337902803,lithe,9.637385723920742,2,no,no,long,spiny,pointed,Ukraine,5,52.95318140458391,no,no,CT,2003,Ukrainian Ironbelly
female,adult,grey,red,grey,15.383763579164638,long,spiked,partial,rough,partially scaled,2.430188626568934,lithe,44.87697549413072,2,no,no,long,spiny,pointed,Romania,6,45.16438603918125,no,yes,NK,1987,Ukrainian Ironbelly
female,juvenile,grey,yellow,grey,4.660044459657595,long,spiked,partial,rough,partially scaled,0.7462417953742206,lithe,8.704202132816699,2,no,no,long,spiny,pointed,Ukraine,5,55.8040296924824,no,no,SR,1993,Ukrainian Ironbelly
female,elder,grey,yellow,grey,59.83112137552491,long,spiked,partial,rough,partially scaled,3.799150316430254,lithe,87.01443997685348,2,no,no,long,spiny,pointed,Hungary,7,45.02329435494338,no,no,WX,1976,Ukrainian Ironbelly
female,elder,grey,yellow,grey,59.848636648592695,long,spiked,partial,rough,partially scaled,3.203722173764028,lithe,92.90268394876851,2,no,no,long,spiny,pointed,Romania,7,49.40312205387683,no,no,CT,1987,Ukrainian Ironbelly
male,elder,grey,red,grey,45.92328688525914,long,spiked,partial,rough,partially scaled,4.6176778372736145,lithe,96.91954136533431,2,no,no,long,spiny,pointed,Romania,6,48.83541498530763,no,no,OK,1982,Ukrainian Ironbelly
female,juvenile,grey,yellow,grey,4.870015385400569,long,spiked,partial,rough,partially scaled,0.86747469119608,lithe,9.452937820435602,2,no,no,long,spiny,pointed,Romania,6,54.89398811211158,no,no,OK,2014,Ukrainian Ironbelly
male,elder,grey,yellow,grey,49.08884338709498,long,spiked,partial,rough,partially scaled,4.214967272735377,lithe,76.13314466258933,2,no,no,long,spiny,pointed,Romania,7,48.73437282947744,no,no,U,1982,Ukrainian Ironbelly
male,juvenile,grey,red,grey,4.110102055375316,long,spiked,partial,rough,partially scaled,0.8702051607093492,lithe,9.472939900899204,2,no,no,long,spiny,pointed,Hungary,6,59.42913659861335,no,no,CT,1998,Ukrainian Ironbelly
female,juvenile,grey,yellow,grey,4.961034638328735,long,spiked,partial,rough,partially scaled,0.5457465191561068,lithe,9.122240114660842,2,no,no,long,spiny,pointed,Hungary,7,54.213247920021615,no,no,CT,1975,Ukrainian Ironbelly
female,elder,grey,yellow,grey,53.71427091624164,long,spiked,partial,rough,partially scaled,3.037702649280594,lithe,90.28641701199649,2,no,no,long,spiny,pointed,Hungary,7,46.47067420506147,no,no,NR,1989,Ukrainian Ironbelly
male,elder,grey,yellow,grey,56.65781418044793,long,spiked,partial,rough,partially scaled,4.394612280073622,lithe,64.82620628448433,2,no,no,long,spiny,pointed,Ukraine,7,47.790984302943265,no,no,OH,2020,Ukrainian Ironbelly
male,juvenile,grey,yellow,grey,4.440417962451155,long,spiked,partial,rough,partially scaled,0.985922430492951,lithe,9.223091336560595,2,no,no,long,spiny,pointed,Hungary,5,54.53959195558635,no,no,KN,2008,Ukrainian Ironbelly
male,elder,grey,yellow,grey,30.126575467860167,long,spiked,partial,rough,partially scaled,4.09001549267388,lithe,69.64980486457138,2,no,no,long,spiny,pointed,Romania,6,48.03600992112981,no,no,TR,1986,Ukrainian Ironbelly
male,elder,grey,yellow,grey,30.480441544670185,long,spiked,partial,rough,partially scaled,3.3657645006485337,lithe,93.71526652122924,2,no,no,long,spiny,pointed,Hungary,7,47.76499662373712,no,no,NK,2017,Ukrainian Ironbelly
male,adult,grey,yellow,grey,12.414874508333181,long,spiked,partial,rough,partially scaled,1.6893455054541369,lithe,46.59932333598982,2,no,no,long,spiny,pointed,Romania,6,47.69700070398392,no,yes,BR,2011,Ukrainian Ironbelly
male,juvenile,grey,yellow,grey,4.319974763060446,long,spiked,partial,rough,partially scaled,0.7125705633517962,lithe,8.609332977325444,2,no,no,long,spiny,pointed,Romania,5,58.192192316413625,no,no,LM,1975,Ukrainian Ironbelly
male,elder,grey,red,grey,53.087000839627464,long,spiked,partial,rough,partially scaled,3.219971850227589,lithe,77.354155365384,2,no,no,long,spiny,pointed,Ukraine,5,47.29371519114317,no,no,TR,1980,Ukrainian Ironbelly
female,adult,grey,red,grey,17.269324035352284,long,spiked,partial,rough,partially scaled,2.442327716392053,lithe,35.13937300929155,2,no,no,long,spiny,pointed,Romania,5,47.796544731468444,no,yes,BR,2003,Ukrainian Ironbelly
male,elder,grey,yellow,grey,34.70337705660877,long,spiked,partial,rough,partially scaled,4.712356651077673,lithe,95.20377259358115,2,no,no,long,spiny,pointed,Ukraine,6,45.098318512695606,no,no,WX,1988,Ukrainian Ironbelly
male,elder,grey,red,grey,58.77153708643258,long,spiked,partial,rough,partially scaled,4.407429407463609,lithe,68.28680759841787,2,no,no,long,spiny,pointed,Hungary,6,47.31045057511842,no,no,SR,1998,Ukrainian Ironbelly
female,elder,grey,red,grey,59.207945846720044,long,spiked,partial,rough,partially scaled,3.2194858155747346,lithe,103.66696340236484,2,no,no,long,spiny,pointed,Romania,5,47.49118079697412,no,no,AB,1979,Ukrainian Ironbelly
male,elder,grey,yellow,grey,47.45544835278401,long,spiked,partial,rough,partially scaled,3.3535805900959907,lithe,62.030227688981945,2,no,no,long,spiny,pointed,Hungary,5,47.97941985279536,no,no,TR,1994,Ukrainian Ironbelly
female,juvenile,grey,yellow,grey,4.525589515289486,long,spiked,partial,rough,partially scaled,0.8234069591354949,lithe,9.3190931571955,2,no,no,long,spiny,pointed,Hungary,6,54.02844352090851,no,no,VM,2020,Ukrainian Ironbelly
female,juvenile,grey,yellow,grey,4.855119166150076,long,spiked,partial,rough,partially scaled,0.6907606947085408,lithe,8.460066058866742,2,no,no,long,spiny,pointed,Ukraine,5,55.62075521496269,no,no,LM,1977,Ukrainian Ironbelly
female,juvenile,grey,yellow,grey,4.806501394044607,long,spiked,partial,rough,partially scaled,0.837475646451352,lithe,9.085297600768653,2,no,no,long,spiny,pointed,Romania,5,53.07266757838941,no,no,FF,1998,Ukrainian Ironbelly
female,juvenile,grey,red,grey,4.305636301949191,long,spiked,partial,rough,partially scaled,0.8329284464337028,lithe,8.849268847276061,2,no,no,long,spiny,pointed,Hungary,5,59.44962277511567,no,no,DR,2000,Ukrainian Ironbelly
male,juvenile,grey,yellow,grey,4.761843561279706,long,spiked,partial,rough,partially scaled,0.7772894653074297,lithe,9.327863454543046,2,no,no,long,spiny,pointed,Hungary,5,51.7538922274024,no,no,TR,1989,Ukrainian Ironbelly
male,elder,grey,yellow,grey,41.37214737398068,long,spiked,partial,rough,partially scaled,3.5121833517561623,lithe,76.24946296391244,2,no,no,long,spiny,pointed,Romania,6,47.218100176221554,no,no,VM,2002,Ukrainian Ironbelly
male,adult,grey,red,grey,12.526658524358009,long,spiked,partial,rough,partially scaled,1.7875837351439405,lithe,41.436503314813486,2,no,no,long,spiny,pointed,Ukraine,7,47.59404267893885,no,no,NR,2011,Ukrainian Ironbelly
female,elder,grey,red,grey,63.53525672223213,long,spiked,partial,rough,partially scaled,3.478197631226444,lithe,84.54287648342843,2,no,no,long,spiny,pointed,Ukraine,7,47.73850432121074,no,no,SX,1999,Ukrainian Ironbelly
female,adult,grey,yellow,grey,18.57407414472338,long,spiked,partial,rough,partially scaled,2.9546813115811505,lithe,44.196454891556414,2,no,no,long,spiny,pointed,Romania,6,47.019020293908795,no,yes,SR,2013,Ukrainian Ironbelly
male,juvenile,grey,yellow,grey,4.635770832251007,long,spiked,partial,rough,partially scaled,0.6101149825581111,lithe,9.778498409865806,2,no,no,long,spiny,pointed,Hungary,7,57.30745612848527,no,no,SX,2002,Ukrainian Ironbelly
male,juvenile,grey,red,grey,4.142874323023927,long,spiked,partial,rough,partially scaled,0.964560777483169,lithe,8.784740307859888,2,no,no,long,spiny,pointed,Hungary,5,53.79078246294229,no,no,FF,2006,Ukrainian Ironbelly
female,adult,grey,red,grey,18.25757244153744,long,spiked,partial,rough,partially scaled,2.5971711511753077,lithe,45.9075100271247,2,no,no,long,spiny,pointed,Ukraine,6,45.86594708151356,no,yes,KN,2021,Ukrainian Ironbelly
female,juvenile,grey,yellow,grey,4.834155471365706,long,spiked,partial,rough,partially scaled,0.6943268328161594,lithe,8.104371093216647,2,no,no,long,spiny,pointed,Hungary,6,54.81676717622703,no,no,DR,1991,Ukrainian Ironbelly
male,elder,grey,yellow,grey,51.43198041306007,long,spiked,partial,rough,partially scaled,4.728819718644158,lithe,92.39734520375148,2,no,no,long,spiny,pointed,Romania,5,47.78650967552244,no,no,SX,1988,Ukrainian Ironbelly
male,adult,grey,yellow,grey,13.369397313959663,long,spiked,partial,rough,partially scaled,1.872540523364278,lithe,47.58661560360912,2,no,no,long,spiny,pointed,Romania,6,47.208888923058495,no,yes,DR,2005,Ukrainian Ironbelly
female,adult,grey,yellow,grey,23.514827733419324,long,spiked,partial,rough,partially scaled,2.354820902270273,lithe,40.58975527474871,2,no,no,long,spiny,pointed,Romania,5,48.06033270020771,no,yes,BR,1993,Ukrainian Ironbelly
female,elder,grey,red,grey,50.21616724026177,long,spiked,partial,rough,partially scaled,3.588712438730819,lithe,83.6837528337731,2,no,no,long,spiny,pointed,Ukraine,7,49.816274176993694,no,no,NR,2004,Ukrainian Ironbelly
female,adult,grey,yellow,grey,24.443782523451283,long,spiked,partial,rough,partially scaled,2.500796786287239,lithe,37.79634268180012,2,no,no,long,spiny,pointed,Hungary,7,47.418690863648344,no,yes,NN,2002,Ukrainian Ironbelly
male,juvenile,grey,red,grey,4.406457796042863,long,spiked,partial,rough,partially scaled,0.7993943841822235,lithe,9.752052214861793,2,no,no,long,spiny,pointed,Ukraine,7,54.73734940527829,no,no,FF,2005,Ukrainian Ironbelly
male,adult,grey,yellow,grey,13.319082052505038,long,spiked,partial,rough,partially scaled,1.0628115885179759,lithe,43.27704295354001,2,no,no,long,spiny,pointed,Hungary,5,48.62969986750604,no,no,NR,1995,Ukrainian Ironbelly
female,elder,grey,red,grey,64.65387862868181,long,spiked,partial,rough,partially scaled,3.6911246790923546,lithe,94.13208604781423,2,no,no,long,spiny,pointed,Hungary,5,45.980559358806,no,no,TX,1997,Ukrainian Ironbelly
female,elder,grey,red,grey,63.126001176573155,long,spiked,partial,rough,partially scaled,3.070812578928461,lithe,80.16429078178689,2,no,no,long,spiny,pointed,Hungary,6,45.58667558657836,no,no,OK,1988,Ukrainian Ironbelly
female,elder,grey,yellow,grey,53.54455699379274,long,spiked,partial,rough,partially scaled,3.328440116243493,lithe,98.69900858858539,2,no,no,long,spiny,pointed,Romania,6,45.58985254007251,no,no,SR,1989,Ukrainian Ironbelly
female,adult,grey,yellow,grey,22.491922243589798,long,spiked,partial,rough,partially scaled,2.143503446363375,lithe,34.952813661925994,2,no,no,long,spiny,pointed,Hungary,7,49.609147258696666,no,yes,BB,2020,Ukrainian Ironbelly
female,adult,grey,yellow,grey,17.24361440722548,long,spiked,partial,rough,partially scaled,2.599461638230751,lithe,32.806032242710636,2,no,no,long,spiny,pointed,Hungary,5,45.23118272027661,no,no,TR,2009,Ukrainian Ironbelly
male,juvenile,grey,red,grey,4.108735649633479,long,spiked,partial,rough,partially scaled,0.5801019118482307,lithe,9.602144638646195,2,no,no,long,spiny,pointed,Hungary,5,52.8114531560832,no,no,U,2012,Ukrainian Ironbelly
female,adult,grey,yellow,grey,19.233736243078297,long,spiked,partial,rough,partially scaled,2.430800862877332,lithe,44.32393119098587,2,no,no,long,spiny,pointed,Hungary,6,47.54374706520607,no,no,AB,1983,Ukrainian Ironbelly
male,juvenile,grey,yellow,grey,4.634560608741003,long,spiked,partial,rough,partially scaled,0.9823048595514629,lithe,8.860299484482764,2,no,no,long,spiny,pointed,Hungary,7,57.30358356016845,no,no,OK,2004,Ukrainian Ironbelly
female,elder,grey,yellow,grey,42.76864280264016,long,spiked,partial,rough,partially scaled,3.575804896072602,lithe,85.64987082102199,2,no,no,long,spiny,pointed,Ukraine,5,46.910956774334736,no,no,KN,2008,Ukrainian Ironbelly
male,juvenile,grey,red,grey,4.083543577920897,long,spiked,partial,rough,partially scaled,0.561355213393443,lithe,9.369695870686332,2,no,no,long,spiny,pointed,Hungary,7,51.97481036488241,no,no,KN,1977,Ukrainian Ironbelly
female,adult,grey,red,grey,23.754819094219407,long,spiked,partial,rough,partially scaled,2.740209392528188,lithe,44.81547810195902,2,no,no,long,spiny,pointed,Romania,7,47.07473147437659,no,no,DR,1983,Ukrainian Ironbelly
male,elder,grey,yellow,grey,32.96495184914143,long,spiked,partial,rough,partially scaled,4.861466216723766,lithe,91.50409007011243,2,no,no,long,spiny,pointed,Ukraine,7,48.17666232728123,no,no,DR,1994,Ukrainian Ironbelly
female,juvenile,grey,red,grey,4.359648807050615,long,spiked,partial,rough,partially scaled,0.9073438365772931,lithe,8.94822740089304,2,no,no,long,spiny,pointed,Ukraine,6,52.359687171354345,no,no,U,2001,Ukrainian Ironbelly
female,adult,grey,yellow,grey,17.20513671858026,long,spiked,partial,rough,partially scaled,2.7178820878350574,lithe,30.82977309922122,2,no,no,long,spiny,pointed,Romania,7,45.31645111355768,no,no,U,1999,Ukrainian Ironbelly
male,juvenile,grey,red,grey,4.734083376024709,long,spiked,partial,rough,partially scaled,0.9449443192295903,lithe,8.311454156813147,2,no,no,long,spiny,pointed,Hungary,7,58.10460717238972,no,no,U,1996,Ukrainian Ironbelly
male,adult,grey,red,grey,11.884994186424878,long,spiked,partial,rough,partially scaled,1.8724086988618507,lithe,43.797425864998985,2,no,no,long,spiny,pointed,Hungary,6,46.13200844910552,no,no,U,1997,Ukrainian Ironbelly
male,elder,grey,red,grey,59.93709052429171,long,spiked,partial,rough,partially scaled,3.8571749920766956,lithe,86.81421625476297,2,no,no,long,spiny,pointed,Romania,6,47.09582688920472,no,no,DR,1987,Ukrainian Ironbelly
female,juvenile,grey,red,grey,4.343840407515433,long,spiked,partial,rough,partially scaled,0.705058712886095,lithe,9.895091997454744,2,no,no,long,spiny,pointed,Romania,5,52.64577167440261,no,no,VM,1985,Ukrainian Ironbelly
female,elder,grey,yellow,grey,53.613543009918075,long,spiked,partial,rough,partially scaled,3.5061622480570236,lithe,87.71084461478543,2,no,no,long,spiny,pointed,Hungary,6,49.556772426710566,no,no,VM,2003,Ukrainian Ironbelly
female,elder,grey,red,grey,61.41171460926681,long,spiked,partial,rough,partially scaled,3.649008887875313,lithe,96.08693572754763,2,no,no,long,spiny,pointed,Romania,7,48.203822327845984,no,no,VM,2022,Ukrainian Ironbelly
male,juvenile,grey,yellow,grey,4.851135866590891,long,spiked,partial,rough,partially scaled,0.7964414283092589,lithe,9.323147953478713,2,no,no,long,spiny,pointed,Hungary,6,54.01595001979546,no,no,CT,1982,Ukrainian Ironbelly
female,juvenile,grey,yellow,grey,4.836539832561273,long,spiked,partial,rough,partially scaled,0.6356429931700456,lithe,9.687937064743089,2,no,no,long,spiny,pointed,Hungary,5,50.88927794295335,no,no,NN,2003,Ukrainian Ironbelly
male,elder,grey,yellow,grey,39.021664216475976,long,spiked,partial,rough,partially scaled,3.8157925407837796,lithe,73.62279741947154,2,no,no,long,spiny,pointed,Hungary,6,45.24509676351446,no,no,BR,2017,Ukrainian Ironbelly
male,elder,grey,yellow,grey,31.486411348931973,long,spiked,partial,rough,partially scaled,4.351172271972446,lithe,74.61224843785112,2,no,no,long,spiny,pointed,Hungary,6,49.4921158372653,no,no,BB,1983,Ukrainian Ironbelly
female,juvenile,grey,red,grey,4.582371336155932,long,spiked,partial,rough,partially scaled,0.5926842366684038,lithe,9.71524909150675,2,no,no,long,spiny,pointed,Hungary,6,51.29703682235627,no,no,SR,2010,Ukrainian Ironbelly
male,elder,grey,yellow,grey,44.907856401868706,long,spiked,partial,rough,partially scaled,4.112269566959933,lithe,70.26867937215056,2,no,no,long,spiny,pointed,Hungary,7,49.626970167843275,no,no,OK,2000,Ukrainian Ironbelly
male,elder,grey,red,grey,38.38497370436522,long,spiked,partial,rough,partially scaled,3.7085927138657793,lithe,84.88065522609335,2,no,no,long,spiny,pointed,Hungary,6,47.22611059418913,no,no,BB,2015,Ukrainian Ironbelly
